raw_data,Summary,Text,Cleaned_Summary,Cleaned_Text,Final_Content,KMeans_Cluster,DBSCAN_Cluster,Hierarchical_Cluster
"Id: 329424
UserId: A37565LZHTG1VH
ProfileName: C. Maltese
HelpfulnessNumerator: 1
HelpfulnessDenominator: 1
Score: 5
Time: 1305331200
Summary: Awesome!
Text: This is a great product. My 2 year old Golden Retriever hates to have his teeth brushed and this product made his teeth white again. Great seller and great price too!",Awesome!,This is a great product. My 2 year old Golden Retriever hates to have his teeth brushed and this product made his teeth white again. Great seller and great price too!,awesome,this is a great product my year old golden retriever hate to have his teeth brushed and this product made his teeth white again great seller and great price too,awesome. this is a great product my year old golden retriever hate to have his teeth brushed and this product made his teeth white again great seller and great price too,0,-1,2
"Id: 367891
UserId: AFYRH4IJ53BIN
ProfileName: sheila58
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1347408000
Summary: Coconut Oil
Text: Nature's way organic extra virgin coconut oil is a great product for the skin and hair. You will love the way it makes your skin feel smooth and soft. this coconut oil makes the hair feel healthy and it smells good.",Coconut Oil,Nature's way organic extra virgin coconut oil is a great product for the skin and hair. You will love the way it makes your skin feel smooth and soft. this coconut oil makes the hair feel healthy and it smells good.,coconut oil,nature way organic extra virgin coconut oil is a great product for the skin and hair you will love the way it make your skin feel smooth and soft this coconut oil make the hair feel healthy and it smell good,coconut oil. nature way organic extra virgin coconut oil is a great product for the skin and hair you will love the way it make your skin feel smooth and soft this coconut oil make the hair feel healthy and it smell good,2,2,1
"Id: 562978
UserId: A1ECQ8LJMXG4WI
ProfileName: Lou
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1343347200
Summary: Wow!!!!!
Text: Filled with oats and raisins you'll love this snack ..... Delicious and nutritious ..... what else is there to say.... you can't beat that....",Wow!!!!!,Filled with oats and raisins you'll love this snack ..... Delicious and nutritious ..... what else is there to say.... you can't beat that....,wow,filled with oat and raisin youll love this snack delicious and nutritious what else is there to say you cant beat that,wow. filled with oat and raisin youll love this snack delicious and nutritious what else is there to say you cant beat that,1,1,0
"Id: 563789
UserId: ARMXY9JO964PO
ProfileName: Sunny S. Gulley
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 4
Time: 1341792000
Summary: Good stuff
Text: If you like soft chewy cookies you'll like these. You're going to buy more than one box because they will go fast.",Good stuff,If you like soft chewy cookies you'll like these. You're going to buy more than one box because they will go fast.,good stuff,if you like soft chewy cooky youll like these youre going to buy more than one box because they will go fast,good stuff. if you like soft chewy cooky youll like these youre going to buy more than one box because they will go fast,1,1,0
"Id: 563439
UserId: A251WX1Z4SHFDD
ProfileName: ChelseaPartiesPantless
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1341878400
Summary: Holla Holla at this Cookie y'all!
Text: I got a sample of these yummy thangs in my Influenster Mom VoxBox and they are delicious! I shared mine with my toddler and she also loved it, cried when we ran out of cookie! They are nice and soft and really tasty! Go on and get you some, girl!",Holla Holla at this Cookie y'all!,"I got a sample of these yummy thangs in my Influenster Mom VoxBox and they are delicious! I shared mine with my toddler and she also loved it, cried when we ran out of cookie! They are nice and soft and really tasty! Go on and get you some, girl!",holla holla at this cookie yall,i got a sample of these yummy thangs in my influenster mom voxbox and they are delicious i shared mine with my toddler and she also loved it cried when we ran out of cookie they are nice and soft and really tasty go on and get you some girl,holla holla at this cookie yall. i got a sample of these yummy thangs in my influenster mom voxbox and they are delicious i shared mine with my toddler and she also loved it cried when we ran out of cookie they are nice and soft and really tasty go on and get you some girl,1,1,0
"Id: 30977
UserId: A2YX27VE2XQHJQ
ProfileName: LuvOahu
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1298764800
Summary: Love Popchips!!
Text: I love Popchips.  Favorite flavors are Cheddar, Sea Salt and Vinegar, and Salt and Pepper.  They are low in calories and lower in sodium so when I get a craving for potato chips, I grab a bag of Popchips.",Love Popchips!!,"I love Popchips.  Favorite flavors are Cheddar, Sea Salt and Vinegar, and Salt and Pepper.  They are low in calories and lower in sodium so when I get a craving for potato chips, I grab a bag of Popchips.",love popchips,i love popchips favorite flavor are cheddar sea salt and vinegar and salt and pepper they are low in calorie and lower in sodium so when i get a craving for potato chip i grab a bag of popchips,love popchips. i love popchips favorite flavor are cheddar sea salt and vinegar and salt and pepper they are low in calorie and lower in sodium so when i get a craving for potato chip i grab a bag of popchips,1,1,0
"Id: 330039
UserId: A3COGF8HVN6IPZ
ProfileName: madhatter
HelpfulnessNumerator: 1
HelpfulnessDenominator: 1
Score: 5
Time: 1320019200
Summary: Wonder where the tartar went.............
Text: I was a skeptic.  I thought I would have to have my dogs teeth cleaned by a vet at a cost of $150.00 plus.  Their breath would knock over a horse.  Then I heard of Greenies!  Wow can I say, bright teeth and great breath and I feed them only 1/2 of a regular one a day.  They love them! Great product, fast shipping, there is nothing more that needs to be said.",Wonder where the tartar went.............,"I was a skeptic.  I thought I would have to have my dogs teeth cleaned by a vet at a cost of $150.00 plus.  Their breath would knock over a horse.  Then I heard of Greenies!  Wow can I say, bright teeth and great breath and I feed them only 1/2 of a regular one a day.  They love them! Great product, fast shipping, there is nothing more that needs to be said.",wonder where the tartar went,i wa a skeptic i thought i would have to have my dog teeth cleaned by a vet at a cost of plus their breath would knock over a horse then i heard of greenies wow can i say bright teeth and great breath and i feed them only of a regular one a day they love them great product fast shipping there is nothing more that need to be said,wonder where the tartar went. i wa a skeptic i thought i would have to have my dog teeth cleaned by a vet at a cost of plus their breath would knock over a horse then i heard of greenies wow can i say bright teeth and great breath and i feed them only of a regular one a day they love them great product fast shipping there is nothing more that need to be said,0,-1,2
"Id: 30958
UserId: A13FEDZA2FZLCC
ProfileName: Ryan Walsh
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1303862400
Summary: My favorite brand of chips
Text: When I first heard about Popchips I thought they'd end up tasting like either kettle cooked chips or Cape Cod style chips. I was wrong. They are light, airy, and have a great taste to them... (a note to the makers of Popchips, however, there does need to be better quality control - I will randomly get a bag of chips that are, for lack of a better description I'll say ""harder"" than the majority of the batches I buy.)<br /><br />The Salt & Pepper variety is the flavor I love the most. It has a nice kick to it (if you're not into heat, you might want to stay away from this flavor and stick with my other favorite 'original'... otherwise, just have a bottle of water nearby.) I would definitely recommend this for anyone who is a lover of chips.",My favorite brand of chips,"When I first heard about Popchips I thought they'd end up tasting like either kettle cooked chips or Cape Cod style chips. I was wrong. They are light, airy, and have a great taste to them... (a note to the makers of Popchips, however, there does need to be better quality control - I will randomly get a bag of chips that are, for lack of a better description I'll say ""harder"" than the majority of the batches I buy.)<br /><br />The Salt & Pepper variety is the flavor I love the most. It has a nice kick to it (if you're not into heat, you might want to stay away from this flavor and stick with my other favorite 'original'... otherwise, just have a bottle of water nearby.) I would definitely recommend this for anyone who is a lover of chips.",my favorite brand of chip,when i first heard about popchips i thought theyd end up tasting like either kettle cooked chip or cape cod style chip i wa wrong they are light airy and have a great taste to them a note to the maker of popchips however there doe need to be better quality control i will randomly get a bag of chip that are for lack of a better description ill say harder than the majority of the batch i buy the salt pepper variety is the flavor i love the most it ha a nice kick to it if youre not into heat you might want to stay away from this flavor and stick with my other favorite original otherwise just have a bottle of water nearby i would definitely recommend this for anyone who is a lover of chip,my favorite brand of chip. when i first heard about popchips i thought theyd end up tasting like either kettle cooked chip or cape cod style chip i wa wrong they are light airy and have a great taste to them a note to the maker of popchips however there doe need to be better quality control i will randomly get a bag of chip that are for lack of a better description ill say harder than the majority of the batch i buy the salt pepper variety is the flavor i love the most it ha a nice kick to it if youre not into heat you might want to stay away from this flavor and stick with my other favorite original otherwise just have a bottle of water nearby i would definitely recommend this for anyone who is a lover of chip,1,1,0
"Id: 31062
UserId: A2HKGQ3OBD6Q23
ProfileName: D. Yang
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1268006400
Summary: Much better than I thought
Text: I only had the BBQ flavor since the variety pack was OOS at the time I ordered. This was the first time I ate these and they are much better than I expected. I read the reviews and saw that it got a lot of praises, but still skeptical since people's taste buds aren't the same. Once I received it, tried a bag and these are great. They aren't greasy at all and pack a lot of flavor. I rather eat these whenever I feel like I need a snack than original potatoes chips or something that's a bit greasy.<br /><br />Either way, these are great. Go to their website and see if you can find a vendor near you. Buy a bag to try out and if you love it, just keep getting more from your retail store or buy 'em cheaper here on Amazon!",Much better than I thought,"I only had the BBQ flavor since the variety pack was OOS at the time I ordered. This was the first time I ate these and they are much better than I expected. I read the reviews and saw that it got a lot of praises, but still skeptical since people's taste buds aren't the same. Once I received it, tried a bag and these are great. They aren't greasy at all and pack a lot of flavor. I rather eat these whenever I feel like I need a snack than original potatoes chips or something that's a bit greasy.<br /><br />Either way, these are great. Go to their website and see if you can find a vendor near you. Buy a bag to try out and if you love it, just keep getting more from your retail store or buy 'em cheaper here on Amazon!",much better than i thought,i only had the bbq flavor since the variety pack wa oos at the time i ordered this wa the first time i ate these and they are much better than i expected i read the review and saw that it got a lot of praise but still skeptical since people taste bud arent the same once i received it tried a bag and these are great they arent greasy at all and pack a lot of flavor i rather eat these whenever i feel like i need a snack than original potato chip or something thats a bit greasy either way these are great go to their website and see if you can find a vendor near you buy a bag to try out and if you love it just keep getting more from your retail store or buy em cheaper here on amazon,much better than i thought. i only had the bbq flavor since the variety pack wa oos at the time i ordered this wa the first time i ate these and they are much better than i expected i read the review and saw that it got a lot of praise but still skeptical since people taste bud arent the same once i received it tried a bag and these are great they arent greasy at all and pack a lot of flavor i rather eat these whenever i feel like i need a snack than original potato chip or something thats a bit greasy either way these are great go to their website and see if you can find a vendor near you buy a bag to try out and if you love it just keep getting more from your retail store or buy em cheaper here on amazon,1,1,0
"Id: 329810
UserId: A347TM2HQ3JGDX
ProfileName: Almir Rizvanovic ""&#8734;Hare Krsna&#8734;""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1301529600
Summary: Dog love them and one of these works for about 3 to 4 days on our boxer.
Text: These are ""minis"" but seriously plenty for even a bigger dog like a boxer.  We give it to Mocha about 2 to 3 times a week to keep here breath from smelling like the crypt keepers shorts . . .",Dog love them and one of these works for about 3 to 4 days on our boxer.,"These are ""minis"" but seriously plenty for even a bigger dog like a boxer.  We give it to Mocha about 2 to 3 times a week to keep here breath from smelling like the crypt keepers shorts . . .",dog love them and one of these work for about to day on our boxer,these are mini but seriously plenty for even a bigger dog like a boxer we give it to mocha about to time a week to keep here breath from smelling like the crypt keeper short,dog love them and one of these work for about to day on our boxer. these are mini but seriously plenty for even a bigger dog like a boxer we give it to mocha about to time a week to keep here breath from smelling like the crypt keeper short,0,-1,2
"Id: 368061
UserId: ACQ3MAD0IWAYP
ProfileName: Renee
HelpfulnessNumerator: 0
HelpfulnessDenominator: 1
Score: 5
Time: 1330041600
Summary: This is great stuff with the coconut aroma
Text: Great stuff. I had ordered the one by NOW which is best for hands and feet. This product is good for cooking.",This is great stuff with the coconut aroma,Great stuff. I had ordered the one by NOW which is best for hands and feet. This product is good for cooking.,this is great stuff with the coconut aroma,great stuff i had ordered the one by now which is best for hand and foot this product is good for cooking,this is great stuff with the coconut aroma. great stuff i had ordered the one by now which is best for hand and foot this product is good for cooking,2,-1,1
"Id: 368003
UserId: A22NVHWTYFIUOG
ProfileName: Tina
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 4
Time: 1316736000
Summary: just like expected
Text: It is a good coconut oil, at room temperature is clear, it does have a light coconut smell to it, so I mostly use it for baking sweets.",just like expected,"It is a good coconut oil, at room temperature is clear, it does have a light coconut smell to it, so I mostly use it for baking sweets.",just like expected,it is a good coconut oil at room temperature is clear it doe have a light coconut smell to it so i mostly use it for baking sweet,just like expected. it is a good coconut oil at room temperature is clear it doe have a light coconut smell to it so i mostly use it for baking sweet,2,-1,1
"Id: 329453
UserId: A35JBDYRVSRHH0
ProfileName: Dorreen Wanitschke ""banker""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1350691200
Summary: Great teeth
Text: My vet is always surprised how clean my 8 year old dog's teeth are and I attribute this the his daily Greenie.",Great teeth,My vet is always surprised how clean my 8 year old dog's teeth are and I attribute this the his daily Greenie.,great teeth,my vet is always surprised how clean my year old dog teeth are and i attribute this the his daily greenie,great teeth. my vet is always surprised how clean my year old dog teeth are and i attribute this the his daily greenie,0,0,2
"Id: 329904
UserId: AJ78VYNRNF8Y8
ProfileName: Kathryn Callahan
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1270512000
Summary: Greeenies are a great treat!
Text: My small dog loves his greenies. I give him a greenie after dinner. Goodness, if I forget he sure remembers it's time for his delicious treat. These are great at keeping his teeth clean. I still brush his teeth once a week, but these help keep his teeth healthy and strong between brushes.",Greeenies are a great treat!,"My small dog loves his greenies. I give him a greenie after dinner. Goodness, if I forget he sure remembers it's time for his delicious treat. These are great at keeping his teeth clean. I still brush his teeth once a week, but these help keep his teeth healthy and strong between brushes.",greeenies are a great treat,my small dog love his greenies i give him a greenie after dinner goodness if i forget he sure remembers it time for his delicious treat these are great at keeping his teeth clean i still brush his teeth once a week but these help keep his teeth healthy and strong between brush,greeenies are a great treat. my small dog love his greenies i give him a greenie after dinner goodness if i forget he sure remembers it time for his delicious treat these are great at keeping his teeth clean i still brush his teeth once a week but these help keep his teeth healthy and strong between brush,0,0,2
"Id: 368146
UserId: AHUSFEGNW2SQA
ProfileName: sirkhwan
HelpfulnessNumerator: 4
HelpfulnessDenominator: 4
Score: 4
Time: 1331078400
Summary: Fantastic for hair.  OK for dry skin
Text: My hair LOVES coconut oil, apparently.  I have been using a small amount in my hair after I wash and towel-dry my hair for the past 3 weeks, and my normally fine, dry hair is noticeably healthier.  It's not as frizzy and dry.  The coconut oil is actually changing my hair condition instead of just sitting on the surface of my hair and making it look glossy.<br /><br />I have tried some pretty expensive products in my hair ($20-$30 conditioners, hot oil treatments, etc.), and all I can say is, I am never going back.  My advice is to be patient with it, it's not an overnight cure, but your hair will definitely feel great over time.<br /><br />I also have pretty dry skin, but the oil seems to provide only minimal moisture for my cracked skin.  I'm sure it's great for normal skin, though.",Fantastic for hair.  OK for dry skin,"My hair LOVES coconut oil, apparently.  I have been using a small amount in my hair after I wash and towel-dry my hair for the past 3 weeks, and my normally fine, dry hair is noticeably healthier.  It's not as frizzy and dry.  The coconut oil is actually changing my hair condition instead of just sitting on the surface of my hair and making it look glossy.<br /><br />I have tried some pretty expensive products in my hair ($20-$30 conditioners, hot oil treatments, etc.), and all I can say is, I am never going back.  My advice is to be patient with it, it's not an overnight cure, but your hair will definitely feel great over time.<br /><br />I also have pretty dry skin, but the oil seems to provide only minimal moisture for my cracked skin.  I'm sure it's great for normal skin, though.",fantastic for hair ok for dry skin,my hair love coconut oil apparently i have been using a small amount in my hair after i wash and toweldry my hair for the past week and my normally fine dry hair is noticeably healthier it not a frizzy and dry the coconut oil is actually changing my hair condition instead of just sitting on the surface of my hair and making it look glossy i have tried some pretty expensive product in my hair conditioner hot oil treatment etc and all i can say is i am never going back my advice is to be patient with it it not an overnight cure but your hair will definitely feel great over time i also have pretty dry skin but the oil seems to provide only minimal moisture for my cracked skin im sure it great for normal skin though,fantastic for hair ok for dry skin. my hair love coconut oil apparently i have been using a small amount in my hair after i wash and toweldry my hair for the past week and my normally fine dry hair is noticeably healthier it not a frizzy and dry the coconut oil is actually changing my hair condition instead of just sitting on the surface of my hair and making it look glossy i have tried some pretty expensive product in my hair conditioner hot oil treatment etc and all i can say is i am never going back my advice is to be patient with it it not an overnight cure but your hair will definitely feel great over time i also have pretty dry skin but the oil seems to provide only minimal moisture for my cracked skin im sure it great for normal skin though,2,2,1
"Id: 329478
UserId: A2X01RNZ2POM6D
ProfileName: jkmfromla ""jkmfromla""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 4
Time: 1348790400
Summary: Last bag had 1 big greenie ball
Text: I've been using this product for almost 2 years and my dogs seem to like it.  However, last box/bag had all 96 greenies stuck together in a huge ball.  Maybe it was the heat or maybe something happened during packaging.  Either case, I have to pull off 1 at a time when it comes to snack time.",Last bag had 1 big greenie ball,"I've been using this product for almost 2 years and my dogs seem to like it.  However, last box/bag had all 96 greenies stuck together in a huge ball.  Maybe it was the heat or maybe something happened during packaging.  Either case, I have to pull off 1 at a time when it comes to snack time.",last bag had big greenie ball,ive been using this product for almost year and my dog seem to like it however last boxbag had all greenies stuck together in a huge ball maybe it wa the heat or maybe something happened during packaging either case i have to pull off at a time when it come to snack time,last bag had big greenie ball. ive been using this product for almost year and my dog seem to like it however last boxbag had all greenies stuck together in a huge ball maybe it wa the heat or maybe something happened during packaging either case i have to pull off at a time when it come to snack time,0,-1,2
"Id: 563432
UserId: A37F6ROMBNWVNQ
ProfileName: Adrena Johnson
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 4
Time: 1341878400
Summary: Love them
Text: I received this item from Influenster and loved them so much thaton my next grocery trip I purchased three boxed.  I received the oatmeal raisin from Influenster and I also purchased the banana nut and the chocolate almond.  The raisin was my favorite soft and moist, loved them",Love them,"I received this item from Influenster and loved them so much thaton my next grocery trip I purchased three boxed.  I received the oatmeal raisin from Influenster and I also purchased the banana nut and the chocolate almond.  The raisin was my favorite soft and moist, loved them",love them,i received this item from influenster and loved them so much thaton my next grocery trip i purchased three boxed i received the oatmeal raisin from influenster and i also purchased the banana nut and the chocolate almond the raisin wa my favorite soft and moist loved them,love them. i received this item from influenster and loved them so much thaton my next grocery trip i purchased three boxed i received the oatmeal raisin from influenster and i also purchased the banana nut and the chocolate almond the raisin wa my favorite soft and moist loved them,1,1,0
"Id: 563007
UserId: A3IFHZYZT1SY5G
ProfileName: akollar
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1343260800
Summary: Quaker Soft Oatmeal Cookies
Text: WOW, I gave it to my son to try and it was gone within SECONDS. Then he goes, ""Mommy, can I have more?"" and I had to then go out and buy some more of these great cookies. I was very impressed with the packaging and how SOFT the cookies really were when you opened them and the flavor that they had. Very Impressive. Would definitely buy!",Quaker Soft Oatmeal Cookies,"WOW, I gave it to my son to try and it was gone within SECONDS. Then he goes, ""Mommy, can I have more?"" and I had to then go out and buy some more of these great cookies. I was very impressed with the packaging and how SOFT the cookies really were when you opened them and the flavor that they had. Very Impressive. Would definitely buy!",quaker soft oatmeal cooky,wow i gave it to my son to try and it wa gone within second then he go mommy can i have more and i had to then go out and buy some more of these great cooky i wa very impressed with the packaging and how soft the cooky really were when you opened them and the flavor that they had very impressive would definitely buy,quaker soft oatmeal cooky. wow i gave it to my son to try and it wa gone within second then he go mommy can i have more and i had to then go out and buy some more of these great cooky i wa very impressed with the packaging and how soft the cooky really were when you opened them and the flavor that they had very impressive would definitely buy,1,1,0
"Id: 329920
UserId: A1V8SSY4TSKYS5
ProfileName: Christina M. Kelley
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1255996800
Summary: Definitely will purchase from buyer in the future
Text: Encountered 0 problems with this buyer. Received products as pictured/ordered in a timely manner. Packaged securely and safe to ensure no problems during delivery of shipment",Definitely will purchase from buyer in the future,Encountered 0 problems with this buyer. Received products as pictured/ordered in a timely manner. Packaged securely and safe to ensure no problems during delivery of shipment,definitely will purchase from buyer in the future,encountered problem with this buyer received product a picturedordered in a timely manner packaged securely and safe to ensure no problem during delivery of shipment,definitely will purchase from buyer in the future. encountered problem with this buyer received product a picturedordered in a timely manner packaged securely and safe to ensure no problem during delivery of shipment,0,-1,0
"Id: 30988
UserId: A1LLUBUSFOL9SZ
ProfileName: A. Deal Finder
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1296604800
Summary: Mmmm, Mmmm, love these chips!
Text: Love the taste of these chips; I guess they are a little better for you than other snack chips. Have a unique flavor. I only get these on Amazon when they have a good sale. Great alternative every so often.","Mmmm, Mmmm, love these chips!",Love the taste of these chips; I guess they are a little better for you than other snack chips. Have a unique flavor. I only get these on Amazon when they have a good sale. Great alternative every so often.,mmmm mmmm love these chip,love the taste of these chip i guess they are a little better for you than other snack chip have a unique flavor i only get these on amazon when they have a good sale great alternative every so often,mmmm mmmm love these chip. love the taste of these chip i guess they are a little better for you than other snack chip have a unique flavor i only get these on amazon when they have a good sale great alternative every so often,1,1,0
"Id: 563740
UserId: AGKW1Q9IUWIMT
ProfileName: R. A. Frauenglas ""Brooklyn Bum""
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 3
Time: 1343865600
Summary: okay, but nothing extraordinary
Text: If you're thin & can eat cookies, enjoy yourself.  These come in single packs of mid-sized cookies (.73 oz. each), so I suppose it can help with portion control.  However, at 170 calories, it's pretty high for those needing to lose weight.  It only contains 2g of protein.  It also contains 12g of sugar, so I wouldn't call this a friendly treat for those people battling diabetes or who are borderline diabetics.  The ingredients are in very tiny print, in a box that is over 1.5 inches in length, & contains loads of ingredients I can barely pronounce & have no idea what they are.  It's is kinda soft & tastes okay; but it's not a cookie a foodie like myself gushes over.","okay, but nothing extraordinary","If you're thin & can eat cookies, enjoy yourself.  These come in single packs of mid-sized cookies (.73 oz. each), so I suppose it can help with portion control.  However, at 170 calories, it's pretty high for those needing to lose weight.  It only contains 2g of protein.  It also contains 12g of sugar, so I wouldn't call this a friendly treat for those people battling diabetes or who are borderline diabetics.  The ingredients are in very tiny print, in a box that is over 1.5 inches in length, & contains loads of ingredients I can barely pronounce & have no idea what they are.  It's is kinda soft & tastes okay; but it's not a cookie a foodie like myself gushes over.",okay but nothing extraordinary,if youre thin can eat cooky enjoy yourself these come in single pack of midsized cooky oz each so i suppose it can help with portion control however at calorie it pretty high for those needing to lose weight it only contains g of protein it also contains g of sugar so i wouldnt call this a friendly treat for those people battling diabetes or who are borderline diabetic the ingredient are in very tiny print in a box that is over inch in length contains load of ingredient i can barely pronounce have no idea what they are it is kinda soft taste okay but it not a cookie a foodie like myself gush over,okay but nothing extraordinary. if youre thin can eat cooky enjoy yourself these come in single pack of midsized cooky oz each so i suppose it can help with portion control however at calorie it pretty high for those needing to lose weight it only contains g of protein it also contains g of sugar so i wouldnt call this a friendly treat for those people battling diabetes or who are borderline diabetic the ingredient are in very tiny print in a box that is over inch in length contains load of ingredient i can barely pronounce have no idea what they are it is kinda soft taste okay but it not a cookie a foodie like myself gush over,1,-1,0
"Id: 329850
UserId: A16ITFLKSAUQJC
ProfileName: Jean52
HelpfulnessNumerator: 2
HelpfulnessDenominator: 2
Score: 5
Time: 1328400000
Summary: Greenies are a plus for dogs teeth.
Text: I buy greenies for  my two best friends.  My vet commented on how their teeth are looking good because of the greenies.  My ten year old Scottish terrier and my four year old Standard Poodle will dance circles for their greenis..lol.  How cool is that?",Greenies are a plus for dogs teeth.,I buy greenies for  my two best friends.  My vet commented on how their teeth are looking good because of the greenies.  My ten year old Scottish terrier and my four year old Standard Poodle will dance circles for their greenis..lol.  How cool is that?,greenies are a plus for dog teeth,i buy greenies for my two best friend my vet commented on how their teeth are looking good because of the greenies my ten year old scottish terrier and my four year old standard poodle will dance circle for their greenislol how cool is that,greenies are a plus for dog teeth. i buy greenies for my two best friend my vet commented on how their teeth are looking good because of the greenies my ten year old scottish terrier and my four year old standard poodle will dance circle for their greenislol how cool is that,0,0,2
"Id: 367761
UserId: A1FEHPW4GT6WS6
ProfileName: Fallen
HelpfulnessNumerator: 1
HelpfulnessDenominator: 1
Score: 5
Time: 1333843200
Summary: coconut oil
Text: The coconut oil works great on my hair and skin. my hair responded great to the oil and it grew a little because of the oil.",coconut oil,The coconut oil works great on my hair and skin. my hair responded great to the oil and it grew a little because of the oil.,coconut oil,the coconut oil work great on my hair and skin my hair responded great to the oil and it grew a little because of the oil,coconut oil. the coconut oil work great on my hair and skin my hair responded great to the oil and it grew a little because of the oil,2,2,1
"Id: 329984
UserId: A2L11XFJ1W0AV1
ProfileName: dog dog
HelpfulnessNumerator: 4
HelpfulnessDenominator: 9
Score: 1
Time: 1322352000
Summary: do not feed this product to pugs.
Text: My pug almost died from this product. A piece did not digest and got stuck in his intestinal tract. He had to have emergency surgery and 3000.00 later is now OK. Any knowledgeable pug breeder will tell you not to feed these to your pug. All the company did was refund me 25.00 for the cost of the product.",do not feed this product to pugs.,My pug almost died from this product. A piece did not digest and got stuck in his intestinal tract. He had to have emergency surgery and 3000.00 later is now OK. Any knowledgeable pug breeder will tell you not to feed these to your pug. All the company did was refund me 25.00 for the cost of the product.,do not feed this product to pug,my pug almost died from this product a piece did not digest and got stuck in his intestinal tract he had to have emergency surgery and later is now ok any knowledgeable pug breeder will tell you not to feed these to your pug all the company did wa refund me for the cost of the product,do not feed this product to pug. my pug almost died from this product a piece did not digest and got stuck in his intestinal tract he had to have emergency surgery and later is now ok any knowledgeable pug breeder will tell you not to feed these to your pug all the company did wa refund me for the cost of the product,0,-1,2
"Id: 31125
UserId: A3M798YYM8TSQG
ProfileName: Judy
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1236988800
Summary: Similar to Munchos
Text: Discovering I have a yeast allergy meant I had to quit eating Munchos--a childhood favorite. Hurray!! These are very similar and just as good. :)",Similar to Munchos,Discovering I have a yeast allergy meant I had to quit eating Munchos--a childhood favorite. Hurray!! These are very similar and just as good. :),similar to munchos,discovering i have a yeast allergy meant i had to quit eating munchosa childhood favorite hurray these are very similar and just a good,similar to munchos. discovering i have a yeast allergy meant i had to quit eating munchosa childhood favorite hurray these are very similar and just a good,1,-1,0
"Id: 563256
UserId: A1IVYVCF909Y3C
ProfileName: Teisha
HelpfulnessNumerator: 0
HelpfulnessDenominator: 0
Score: 5
Time: 1342137600
Summary: Pleasantly suprised!!!
Text: I am not normally a cookie fan but I tried this cookie and it was great!It was very soft and the taste was just wonderful. It isn't overly sweet so it is a great on the go snack for the entire family.",Pleasantly suprised!!!,I am not normally a cookie fan but I tried this cookie and it was great!It was very soft and the taste was just wonderful. It isn't overly sweet so it is a great on the go snack for the entire family.,pleasantly suprised,i am not normally a cookie fan but i tried this cookie and it wa greatit wa very soft and the taste wa just wonderful it isnt overly sweet so it is a great on the go snack for the entire family,pleasantly suprised. i am not normally a cookie fan but i tried this cookie and it wa greatit wa very soft and the taste wa just wonderful it isnt overly sweet so it is a great on the go snack for the entire family,1,1,0
"Id: 367841
UserId: A226Z27AJ6BQRF
ProfileName: Foxtrot
HelpfulnessNumerator: 2
HelpfulnessDenominator: 3
Score: 5
Time: 1342483200
Summary: I love Coconut OIl
Text: Coconut oil is awesome!! I have found the organic coconut oil is even better. It has many uses in my household. I use it on my hair, and skin, and I added it to my smoothies!!! You can go wrong with coconut oil especially this brand!",I love Coconut OIl,"Coconut oil is awesome!! I have found the organic coconut oil is even better. It has many uses in my household. I use it on my hair, and skin, and I added it to my smoothies!!! You can go wrong with coconut oil especially this brand!",i love coconut oil,coconut oil is awesome i have found the organic coconut oil is even better it ha many us in my household i use it on my hair and skin and i added it to my smoothy you can go wrong with coconut oil especially this brand,i love coconut oil. coconut oil is awesome i have found the organic coconut oil is even better it ha many us in my household i use it on my hair and skin and i added it to my smoothy you can go wrong with coconut oil especially this brand,2,2,1
